video_id,video_path,annotation_path,prediction_path
pushup_001,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_001.mp4,evaluation/action_analysis/dataset/annotations/pushup_001.json,evaluation/action_analysis/dataset/predictions/pushup_001_pred.json
pushup_002,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_002.mp4,evaluation/action_analysis/dataset/annotations/pushup_002.json,evaluation/action_analysis/dataset/predictions/pushup_002_pred.json
pushup_003,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_003.mp4,evaluation/action_analysis/dataset/annotations/pushup_003.json,evaluation/action_analysis/dataset/predictions/pushup_003_pred.json
pushup_004,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_004.mp4,evaluation/action_analysis/dataset/annotations/pushup_004.json,evaluation/action_analysis/dataset/predictions/pushup_004_pred.json
pushup_005,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_005.mp4,evaluation/action_analysis/dataset/annotations/pushup_005.json,evaluation/action_analysis/dataset/predictions/pushup_005_pred.json
pushup_006,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_006.mp4,evaluation/action_analysis/dataset/annotations/pushup_006.json,evaluation/action_analysis/dataset/predictions/pushup_006_pred.json
pushup_007,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_007.mp4,evaluation/action_analysis/dataset/annotations/pushup_007.json,evaluation/action_analysis/dataset/predictions/pushup_007_pred.json
pushup_008,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_008.mp4,evaluation/action_analysis/dataset/annotations/pushup_008.json,evaluation/action_analysis/dataset/predictions/pushup_008_pred.json
pushup_009,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_009.mp4,evaluation/action_analysis/dataset/annotations/pushup_009.json,evaluation/action_analysis/dataset/predictions/pushup_009_pred.json
pushup_010,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_010.mp4,evaluation/action_analysis/dataset/annotations/pushup_010.json,evaluation/action_analysis/dataset/predictions/pushup_010_pred.json
pushup_011,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_011.mp4,evaluation/action_analysis/dataset/annotations/pushup_011.json,evaluation/action_analysis/dataset/predictions/pushup_011_pred.json
pushup_012,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_012.mp4,evaluation/action_analysis/dataset/annotations/pushup_012.json,evaluation/action_analysis/dataset/predictions/pushup_012_pred.json
pushup_013,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_013.mp4,evaluation/action_analysis/dataset/annotations/pushup_013.json,evaluation/action_analysis/dataset/predictions/pushup_013_pred.json
pushup_014,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_014.mp4,evaluation/action_analysis/dataset/annotations/pushup_014.json,evaluation/action_analysis/dataset/predictions/pushup_014_pred.json
pushup_015,evaluation/action_analysis/dataset/videos/pushup/standard/pushup_015.mp4,evaluation/action_analysis/dataset/annotations/pushup_015.json,evaluation/action_analysis/dataset/predictions/pushup_015_pred.json
pushup_016,evaluation/action_analysis/dataset/videos/pushup/error/elbow_flare/pushup_016.mp4,evaluation/action_analysis/dataset/annotations/pushup_016.json,evaluation/action_analysis/dataset/predictions/pushup_016_pred.json
pushup_017,evaluation/action_analysis/dataset/videos/pushup/error/hip_sag/pushup_017.mp4,evaluation/action_analysis/dataset/annotations/pushup_017.json,evaluation/action_analysis/dataset/predictions/pushup_017_pred.json
pushup_018,evaluation/action_analysis/dataset/videos/pushup/error/shallow_depth/pushup_018.mp4,evaluation/action_analysis/dataset/annotations/pushup_018.json,evaluation/action_analysis/dataset/predictions/pushup_018_pred.json
pushup_019,evaluation/action_analysis/dataset/videos/pushup/error/elbow_flare/pushup_019.mp4,evaluation/action_analysis/dataset/annotations/pushup_019.json,evaluation/action_analysis/dataset/predictions/pushup_019_pred.json
pushup_020,evaluation/action_analysis/dataset/videos/pushup/error/hip_sag/pushup_020.mp4,evaluation/action_analysis/dataset/annotations/pushup_020.json,evaluation/action_analysis/dataset/predictions/pushup_020_pred.json
pushup_021,evaluation/action_analysis/dataset/videos/pushup/error/shallow_depth/pushup_021.mp4,evaluation/action_analysis/dataset/annotations/pushup_021.json,evaluation/action_analysis/dataset/predictions/pushup_021_pred.json
pushup_022,evaluation/action_analysis/dataset/videos/pushup/error/elbow_flare/pushup_022.mp4,evaluation/action_analysis/dataset/annotations/pushup_022.json,evaluation/action_analysis/dataset/predictions/pushup_022_pred.json
pushup_023,evaluation/action_analysis/dataset/videos/pushup/error/hip_sag/pushup_023.mp4,evaluation/action_analysis/dataset/annotations/pushup_023.json,evaluation/action_analysis/dataset/predictions/pushup_023_pred.json
pushup_024,evaluation/action_analysis/dataset/videos/pushup/error/shallow_depth/pushup_024.mp4,evaluation/action_analysis/dataset/annotations/pushup_024.json,evaluation/action_analysis/dataset/predictions/pushup_024_pred.json
pushup_025,evaluation/action_analysis/dataset/videos/pushup/error/elbow_flare/pushup_025.mp4,evaluation/action_analysis/dataset/annotations/pushup_025.json,evaluation/action_analysis/dataset/predictions/pushup_025_pred.json
pushup_026,evaluation/action_analysis/dataset/videos/pushup/error/hip_sag/pushup_026.mp4,evaluation/action_analysis/dataset/annotations/pushup_026.json,evaluation/action_analysis/dataset/predictions/pushup_026_pred.json
pushup_027,evaluation/action_analysis/dataset/videos/pushup/error/shallow_depth/pushup_027.mp4,evaluation/action_analysis/dataset/annotations/pushup_027.json,evaluation/action_analysis/dataset/predictions/pushup_027_pred.json
pushup_028,evaluation/action_analysis/dataset/videos/pushup/error/elbow_flare/pushup_028.mp4,evaluation/action_analysis/dataset/annotations/pushup_028.json,evaluation/action_analysis/dataset/predictions/pushup_028_pred.json
pushup_029,evaluation/action_analysis/dataset/videos/pushup/error/hip_sag/pushup_029.mp4,evaluation/action_analysis/dataset/annotations/pushup_029.json,evaluation/action_analysis/dataset/predictions/pushup_029_pred.json
pushup_030,evaluation/action_analysis/dataset/videos/pushup/error/shallow_depth/pushup_030.mp4,evaluation/action_analysis/dataset/annotations/pushup_030.json,evaluation/action_analysis/dataset/predictions/pushup_030_pred.json
squat_001,evaluation/action_analysis/dataset/videos/squat/standard/squat_001.mp4,evaluation/action_analysis/dataset/annotations/squat_001.json,evaluation/action_analysis/dataset/predictions/squat_001_pred.json
squat_002,evaluation/action_analysis/dataset/videos/squat/standard/squat_002.mp4,evaluation/action_analysis/dataset/annotations/squat_002.json,evaluation/action_analysis/dataset/predictions/squat_002_pred.json
squat_003,evaluation/action_analysis/dataset/videos/squat/standard/squat_003.mp4,evaluation/action_analysis/dataset/annotations/squat_003.json,evaluation/action_analysis/dataset/predictions/squat_003_pred.json
